ComplaintID,Predictions
1143139,N
1828373,N
1145704,N
2051177,N
2067173,N
2048191,N
2050578,N
2059462,N
2033319,N
2045346,N
1977697,N
2046030,N
2044366,N
2049070,N
2040622,N
2046518,N
2054118,N
2062294,N
2064199,N
2067829,N
2054816,N
2059207,N
2043572,N
2017525,N
2069859,N
1985966,N
2066339,N
2059429,N
2058295,N
2055263,N
2060265,N
2060004,N
2061998,N
2052766,N
2073896,Y
2081001,N
2075527,N
2066047,N
2071007,N
2070745,N
2070727,N
2083033,N
2069472,N
2075568,N
2069644,N
2084626,N
2072772,N
2073737,N
2076030,N
2073516,N
2079622,N
2069129,N
2081639,N
2077541,N
2075082,N
2082443,N
2085530,N
2087640,Y
2042570,N
2079816,N
2082810,N
2074495,N
2101054,N
2088307,N
2088495,N
2090068,N
2097285,N
2012977,N
2094263,N
2043720,N
2082826,N
2084755,N
2071896,N
2085278,N
2098828,N
2092259,N
2084876,N
2006845,N
2104534,N
2071464,N
2092051,N
2100772,N
2110562,N
2096543,N
2105317,N
2100941,N
2102521,N
2095652,N
2028061,N
2071595,N
2082763,N
2105598,N
2109872,N
2094859,N
2102159,N
2097323,N
2098296,N
2098813,N
2097955,N
2093493,N
2105209,N
2114069,N
2098141,N
2108210,N
2101279,N
2119776,N
2098461,N
2100080,N
2117454,N
2050293,N
2121049,N
2101293,N
2127356,N
2109224,N
2118028,N
2110204,N
2061989,N
2103647,N
2108514,N
2134687,N
2121344,N
2109266,N
2038752,N
2039165,N
2103625,N
2036054,N
2127215,N
2071961,N
2035839,N
2128702,N
2063129,N
2034706,N
2041895,N
2114515,N
2044283,N
2043880,N
2124153,N
2101443,N
2125025,N
2131664,N
2117480,N
2122689,N
2128047,N
2122632,N
2118448,N
2131959,Y
2093285,N
2124161,N
2045615,N
2124322,N
2051570,N
2143905,N
2054585,N
2145603,N
2139553,N
2099920,N
2133564,N
2141126,N
2131704,N
2127603,N
2148649,Y
2140626,Y
2144255,N
2141316,N
2094452,N
