ComplaintID,Predictions
1143139,Y
1828373,N
1145704,Y
2051177,Y
2067173,Y
2048191,Y
2050578,Y
2059462,Y
2033319,N
2045346,Y
1977697,N
2046030,N
2044366,N
2049070,N
2040622,N
2046518,N
2054118,N
2062294,N
2064199,Y
2067829,Y
2054816,Y
2059207,Y
2043572,N
2017525,Y
2069859,Y
1985966,N
2066339,Y
2059429,N
2058295,N
2055263,Y
2060265,Y
2060004,Y
2061998,Y
2052766,Y
2073896,Y
2081001,Y
2075527,N
2066047,Y
2071007,N
2070745,N
2070727,N
2083033,Y
2069472,Y
2075568,Y
2069644,Y
2084626,Y
2072772,Y
2073737,Y
2076030,N
2073516,Y
2079622,N
2069129,N
2081639,Y
2077541,Y
2075082,N
2082443,Y
2085530,Y
2087640,Y
2042570,N
2079816,Y
2082810,Y
2074495,N
2101054,Y
2088307,N
2088495,N
2090068,Y
2097285,Y
2012977,N
2094263,Y
2043720,N
2082826,N
2084755,Y
2071896,Y
2085278,Y
2098828,N
2092259,Y
2084876,Y
2006845,Y
2104534,Y
2071464,Y
2092051,Y
2100772,Y
2110562,Y
2096543,N
2105317,Y
2100941,Y
2102521,Y
2095652,Y
2028061,Y
2071595,N
2082763,N
2105598,Y
2109872,Y
2094859,Y
2102159,N
2097323,Y
2098296,Y
2098813,Y
2097955,N
2093493,N
2105209,Y
2114069,Y
2098141,N
2108210,N
2101279,N
2119776,Y
2098461,N
2100080,N
2117454,Y
2050293,Y
2121049,Y
2101293,Y
2127356,N
2109224,N
2118028,Y
2110204,N
2061989,N
2103647,N
2108514,N
2134687,Y
2121344,Y
2109266,Y
2038752,Y
2039165,Y
2103625,N
2036054,Y
2127215,Y
2071961,N
2035839,Y
2128702,Y
2063129,Y
2034706,N
2041895,Y
2114515,Y
2044283,Y
2043880,Y
2124153,N
2101443,N
2125025,N
2131664,Y
2117480,Y
2122689,Y
2128047,Y
2122632,N
2118448,N
2131959,Y
2093285,N
2124161,Y
2045615,N
2124322,N
2051570,Y
2143905,Y
2054585,N
2145603,Y
2139553,Y
2099920,N
2133564,Y
2141126,Y
2131704,Y
2127603,N
2148649,Y
2140626,Y
2144255,Y
2141316,Y
2094452,N
